_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
187,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,F,4AR,Titolare di assegno di ricerca,175
188,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),355
189,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,126
190,2020,3601,Modena e Reggio Emilia - Università degli studi,Emilia-Romagna,NORD-EST,M,4AR,Titolare di assegno di ricerca,177
191,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),771
192,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,391
193,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,F,4AR,Titolare di assegno di ricerca,552
194,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),1247
195,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,440
196,2020,3701,Bologna - Università degli studi,Emilia-Romagna,NORD-EST,M,4AR,Titolare di assegno di ricerca,640
